schools,STAFF updated 8/30/21 Current Cases in Isolation,"21-'22
Cases To Date","Notifications of Close Contact Issued
To Date",STUDENTS updated 8/30/21 Current Cases in Isolation,"21-'22
Cases To Date.1","Notifications of Close Contact Issued
To Date.1"
Highland Park,4.0,7.0,6.0,7.0,17.0,92.0
Richmond,1.0,1.0,1.0,2.0,13.0,105.0
Sangre Ridge,0.0,1.0,4.0,8.0,9.0,154.0
Skyline,2.0,4.0,14.0,11.0,16.0,250.0
Westwood,0.0,0.0,10.0,6.0,9.0,113.0
Will Rogers,2.0,3.0,18.0,10.0,15.0,224.0
SMS,2.0,3.0,8.0,8.0,22.0,220.0
SJHS,2.0,2.0,5.0,8.0,13.0,367.0
SHS,2.0,4.0,13.0,40.0,50.0,612.0
Lincoln Academy,0.0,0.0,0.0,2.0,3.0,11.0
Virtual Academy,0.0,0.0,0.0,1.0,1.0,0.0
Facilities,0.0,0.0,1.0,0.0,0.0,0.0
Child Nutrition***,0.0,0.0,1.0,0.0,0.0,0.0
Transportation,2.0,3.0,2.0,0.0,0.0,0.0
Technology,0.0,2.0,2.0,0.0,0.0,0.0
Central Office,0.0,0.0,3.0,0.0,0.0,0.0
Other (Multiple sites),1.0,2.0,4.0,0.0,0.0,0.0
Total,18.0,32.0,92.0,103.0,168.0,2148.0
