Location,date,solation_cases,cases_to_date,contact_notifications
Highland Park,9/5/21,7,19,130
Richmond,9/5/21,2,13,105
Sangre Ridge,9/5/21,3,10,164
Skyline,9/5/21,15,21,273
Westwood,9/5/21,5,9,116
Will Rogers,9/5/21,7,18,229
SMS,9/5/21,6,25,263
SJHS,9/5/21,10,20,559
SHS,9/5/21,19,61,694
Lincoln Academy,9/5/21,2,4,11
Virtual Academy,9/5/21,0,1,0
Facilities,9/5/21,0,0,0
Child Nutrition***,9/5/21,0,0,0
Transportation,9/5/21,0,0,0
Technology,9/5/21,0,0,0
Central Office,9/5/21,0,0,0
Other (Multiple sites),9/5/21,0,0,0
Highland Park,8/30/21,7,17,92
Richmond,8/30/21,2,13,105
Sangre Ridge,8/30/21,8,9,154
Skyline,8/30/21,11,16,250
Westwood,8/30/21,6,9,113
Will Rogers,8/30/21,10,15,224
SMS,8/30/21,8,22,220
SJHS,8/30/21,8,13,367
SHS,8/30/21,40,50,612
Lincoln Academy,8/30/21,2,3,11
Virtual Academy,8/30/21,1,1,0
Facilities,8/30/21,0,0,0
Child Nutrition***,8/30/21,0,0,0
Transportation,8/30/21,0,0,0
Technology,8/30/21,0,0,0
Central Office,8/30/21,0,0,0
Other (Multiple sites),8/30/21,0,0,0
Highland Park,9/2/21,7,18,122
Richmond,9/2/21,2,13,105
Sangre Ridge,9/2/21,3,10,164
Skyline,9/2/21,15,21,273
Westwood,9/2/21,5,9,116
Will Rogers,9/2/21,7,17,229
SMS,9/2/21,7,25,263
SJHS,9/2/21,12,20,559
SHS,9/2/21,30,61,694
Lincoln Academy,9/2/21,2,4,11
Virtual Academy,9/2/21,0,1,0
Facilities,9/2/21,0,0,0
Child Nutrition***,9/2/21,0,0,0
Transportation,9/2/21,0,0,0
Technology,9/2/21,0,0,0
Central Office,9/2/21,0,0,0
Other (Multiple sites),9/2/21,0,0,0
Highland Park,8/23/21,4,10,27
Richmond,8/23/21,5,11,92
Sangre Ridge,8/23/21,5,5,61
Skyline,8/23/21,4,5,27
Westwood,8/23/21,1,3,3
Will Rogers,8/23/21,8,8,170
SMS,8/23/21,11,13,104
SJHS,8/23/21,4,6,137
SHS,8/23/21,17,22,220
Lincoln Academy,8/23/21,0,1,2
Virtual Academy,8/23/21,0,0,0
Facilities,8/23/21,0,0,0
Child Nutrition***,8/23/21,0,0,0
Transportation,8/23/21,0,0,0
Technology,8/23/21,0,0,0
Central Office,8/23/21,0,0,0
Other (Multiple sites),8/23/21,0,0,0
Highland Park,9/4/21,6,18,122
Richmond,9/4/21,2,13,105
Sangre Ridge,9/4/21,3,10,164
Skyline,9/4/21,15,21,273
Westwood,9/4/21,5,9,116
Will Rogers,9/4/21,6,17,229
SMS,9/4/21,7,25,263
SJHS,9/4/21,11,20,559
SHS,9/4/21,24,61,694
Lincoln Academy,9/4/21,2,4,11
Virtual Academy,9/4/21,0,1,0
Facilities,9/4/21,0,0,0
Child Nutrition***,9/4/21,0,0,0
Transportation,9/4/21,0,0,0
Technology,9/4/21,0,0,0
Central Office,9/4/21,0,0,0
Other (Multiple sites),9/4/21,0,0,0
